source,review_id,review_description,review_title,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,6716b98e-0bcb-46e0-a41c-35ba621b674f,I can't log in with my usual details and I can't open a new account. Over 5yeara of data missing.,,4,0,2024-04-21 13:04:29,"Hi, Akua. So you can log in again, please try resetting your password using the steps here: https://support.google.com/fitbit/answer/14236416

But if the issue persists, please contact us so we can help you in finding a better resolution. You can reach our help page here: https://goo.gle/contactfitbit",2024-04-21 17:47:28,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,92d70c80-cb62-429b-b3cd-2bff501708a4,"April 2024 update. Deserves more than one star but! Since Google purchased Fitbit, every update makes the app increasingly worse. After an update of the app in early fall 2022, the viewing of statistics and graphs is simply ruined. The April 2024 update of the graphics of sleep and other statistic makes them even less useful than they used to be. If the app were the same as it was before Google purchased Fitbit, I would give it five stars.",,1,10,2024-04-21 12:51:05,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,7679364b-1338-414e-b9b6-78c7c8e687d3,What has happened? I cannot wake screen without charging it and it no longer tracks my workouts. I press start but it cuts off after a minute or 2. So disappointed with this. Samsung watch here I come. My new phone is running at android 14. So this response is just rubbish. Sort it out!,,1,0,2024-04-21 12:48:47,"Hi, Charlene. We're sorry to hear this. Please make sure to sync your Fitbit device, then try restarting it by following the steps here: https://support.google.com/fitbit/answer/14194938

To track your exercises, please visit this: https://support.google.com/fitbit/answer/14236510

For further help, reach us at: https://goo.gle/contactfitbit",2024-04-21 12:30:05,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,fb53a484-1a14-491a-8ce2-5f12825c09db,4-20-2024 I guess Google bought Fitbit to put it out of business. Each update is making the Fitbit app worse than before.,,1,5,2024-04-21 12:45:18,"Hi, Sharon. Sorry about this and thanks for troubleshooting. Our team will be glad to check on this, please feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2023-11-30 09:09:26,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,4983372d-f03c-46ac-bde5-745d3a314639,"Rubbish, unable to see sleep pattern",,1,1,2024-04-21 12:35:50,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,835d9391-46bc-40cd-813e-7140c3206052,The latest update is horrible. Sleep chart is basically unusable. 😡,,1,1,2024-04-21 12:31:37,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,6d6cd606-eadb-4b8c-b9d6-9ce7b299044c,"Just wanted to add to the list of people who are extremely disappointed with the latest update. As others have already said, the sleep tracking is now virtually impossible to read. Please put it back to the way it was!",,1,1,2024-04-21 12:31:09,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,264cd6ac-c24b-47dd-ab62-5f06f8338072,The update is horrendous.,,1,2,2024-04-21 12:06:55,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,9ab28a76-7d89-49d5-a4cf-9110f509f64d,Useless! Cant log in.. it says unable to send email.... whats going on? never had any issues until recent updates when I have to log in everytime I open the app now i can't even do that.... and yes I've googled and tried everything suggested to resolve... how do I fix this??!! And bring back the old interface this one is not user friendly!,,1,0,2024-04-21 12:05:53,"Hi, Donna. Sorry about this and thanks for troubleshooting. If you haven't done so, try resetting your Fitbit account's password: https://support.google.com/fitbit/answer/14236416 Make sure to check your email's spam and junk folders as well. If the issue persists, feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 12:18:17,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,50318377-40fa-4b88-af08-02a6ca7d2ca3,"Google took away the community interaction, 3rd party apps (Spotify, etc) and now they've changed the look of the entite app. Horrible! Colorlesd & harder to read.",,2,3,2024-04-21 11:44:28,,,4.14.fitbit-mobile-110045073-617559692,en,us
